Country Name,ISO,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,ABW,2549720670,2534636872,2701675978,2765363128,2919553073,2965921788,3056424581,,
Afghanistan,AFG,17804292964,20001598506,20561069558,20484885120,19907111419,18017749074,18869945678,18353881130,19291104008
Angola,AGO,1.1179E+11,1.28053E+11,1.3671E+11,1.45712E+11,1.16194E+11,1.01124E+11,1.22124E+11,1.01353E+11,88815697793
Albania,ALB,12890765324,12319830252,12776217195,13228144008,11386846319,11861200797,13019693451,15147020535,15279183290
Andorra,AND,3629203786,3188808943,3193704343,3271808157,2789870188,2896679212,3000180750,3218316013,3154057987
Arab World,ARB,2.49403E+12,2.7735E+12,2.85637E+12,2.89439E+12,2.53472E+12,2.46944E+12,2.51612E+12,2.77138E+12,2.81741E+12
United Arab Emirates,ARE,3.50666E+11,3.74591E+11,3.90108E+11,4.03137E+11,3.58135E+11,3.57045E+11,3.85606E+11,4.22215E+11,4.21142E+11
Argentina,ARG,5.30163E+11,5.45982E+11,5.52025E+11,5.2632E+11,5.94749E+11,5.57531E+11,6.43629E+11,5.17627E+11,4.45445E+11
Armenia,ARM,10142111334,10619320049,11121465767,11609512940,10553337673,10546135160,11527458566,12457941907,13672802158
American Samoa,ASM,574000000,644000000,641000000,642000000,661000000,652000000,602000000,636000000,
Antigua and Barbuda,ATG,1137637037,1199948148,1181448148,1249733333,1336692593,1436585185,1467977778,1605351852,1661962963
Australia,AUS,1.39665E+12,1.54615E+12,1.57618E+12,1.46748E+12,1.35169E+12,1.20885E+12,1.32919E+12,1.43288E+12,1.39657E+12
Austria,AUT,4.3112E+11,4.09425E+11,4.30069E+11,4.41996E+11,3.81818E+11,3.95569E+11,4.17238E+11,4.55095E+11,4.45075E+11
Azerbaijan,AZE,65951627200,69683935845,74164435946,75244294275,53074370486,37867518957,40865558912,47112941176,48047647059
Burundi,BDI,2235820868,2333308099,2451625333,2705783272,3104394858,2959640987,3172292379,3036931818,3012334882
Belgium,BEL,5.22646E+11,4.96181E+11,5.21643E+11,5.34678E+11,4.6215E+11,4.7574E+11,5.02698E+11,5.43734E+11,5.33097E+11
Benin,BEN,10693321954,11141358945,12517845732,13284528654,11388160958,11821066153,12701656931,14250985959,14390709095
Burkina Faso,BFA,12080296644,12561016091,13444301139,13943016924,11832159276,12833363370,14106956830,16059910871,15990803570
Bangladesh,BGD,1.28638E+11,1.33356E+11,1.4999E+11,1.72885E+11,1.95079E+11,2.21415E+11,2.49711E+11,2.74039E+11,3.02571E+11
Bulgaria,BGR,57386216850,54033250329,55615397666,56901994980,50647442757,53806894796,58971520599,66230155100,68558815112
Bahrain,BHR,28776595745,30749308511,32539468085,33387712766,31050638298,32234973404,35473776596,37652500000,38574069149
"Bahamas, The",BHS,10070450000,10720500000,10568400000,11111600000,11710800000,11928500000,12490700000,13022100000,13578800000
Bosnia and Herzegovina,BIH,18644723861,17226849297,18178503835,18558343508,16211541820,16913330694,18080118128,20183510561,20164193807
Belarus,BLR,61757788945,65685102555,75527984234,78813839984,56454734397,47722657821,54726595249,60031262269,63080457023
Belize,BLZ,1460800000,1522900000,1579400000,1662800000,1723800000,1775100000,1836600000,1871200000,1879613600
Bermuda,BMU,6312691000,6378188000,6465756000,6413988000,6654541000,6899911000,7142316000,7224329000,7484113000
Bolivia,BOL,23963033431,27084497483,30659338880,32996188013,33000198248,33941126200,37508642165,40287647930,40895322844
Brazil,BRA,2.6162E+12,2.46519E+12,2.47281E+12,2.45599E+12,1.80221E+12,1.7957E+12,2.06283E+12,1.88548E+12,1.83976E+12
Barbados,BRB,4657500000,4610000000,4677000000,4696500000,4715000000,4830000000,4978000000,5086500000,5209000000
Brunei Darussalam,BRN,18525319978,19047940301,18093829923,17098342541,12930394938,11400854268,12128104859,13567351175,13469422959
Bhutan,BTN,1777101317,1781281282,1756215665,1907090813,2003598213,2158972129,2450364928,2446866405,2530547158
Botswana,BWA,15351972361,14380004175,14901750991,16250781587,14420593484,15646354089,17405588070,18663265549,18340480936
Central African Republic,CAF,2437982840,2510126699,1691544192,1894813505,1695825708,1825018191,2072350151,2220978978,2220307369
Canada,CAN,1.78865E+12,1.82869E+12,1.84721E+12,1.80353E+12,1.55613E+12,1.52824E+12,1.64988E+12,1.71626E+12,1.73643E+12
Central Europe and the Baltics,CEB,1.44911E+12,1.35269E+12,1.42219E+12,1.4649E+12,1.29209E+12,1.32063E+12,1.4635E+12,1.64444E+12,1.66885E+12
Switzerland,CHE,6.9958E+11,6.68044E+11,6.88504E+11,7.09183E+11,6.79832E+11,6.71309E+11,6.7995E+11,7.05141E+11,7.03082E+11
Channel Islands,CHI,,,,,,,,,
Chile,CHL,2.52252E+11,2.67122E+11,2.78384E+11,2.60542E+11,2.43919E+11,2.5044E+11,2.77045E+11,2.98258E+11,2.82318E+11
China,CHN,7.5515E+12,8.53223E+12,9.57041E+12,1.04757E+13,1.10616E+13,1.12333E+13,1.23104E+13,1.38948E+13,1.42799E+13
Cote d'Ivoire,CIV,25414875503,26789047555,31273074528,35363533866,45814637971,47964234560,51588158718,58011466451,58539424930
Cameroon,CMR,29375448542,29102772799,32357345501,34989493826,30928653814,32643697596,35009262788,38694156863,39007354359
"Congo, Dem. Rep.",COD,25839749199,29306235826,32679745298,35909040266,37917704900,37134799975,38019265626,46831342213,50400746171
"Congo, Rep.",COG,15655384440,17692912613,17958721572,17783526318,11953249530,10335424288,11198674674,13518403447,12267392147
Colombia,COL,3.34944E+11,3.70921E+11,3.82116E+11,3.81112E+11,2.93482E+11,2.82825E+11,3.11884E+11,3.33569E+11,3.23616E+11
Comoros,COM,1023086184,1015843369,1116224161,1149587652,966029542,1012835518,1077439663,1178530758,1165839927
Cabo Verde,CPV,1865915544,1741809809,1850470042,1859898513,1596800287,1662998678,1769787215,1966983317,1981845740
Costa Rica,CRI,42262697840,46473128286,49745088112,50577769838,54775994479,57157992434,58481858043,60553901420,61801385049
Caribbean small states,CSS,69668274256,72051118642,73417589878,74433668499,72828471571,69191343076,71452564226,74967267520,77721714918
Cuba,CUB,68990000000,73141000000,77148000000,80656000000,87133000000,91370000000,96851000000,1.00023E+11,
Curacao,CUW,3038699609,3131096089,3147616201,3158406034,3151910782,3122287933,3116610112,3127908045,3101787709
Cayman Islands,CYM,4186223865,4291158968,4405954696,4563017852,4708336756,4909498943,5153091158,5517361238,
Cyprus,CYP,27565469098,24978513427,23900872626,23156850007,19842404305,20953442550,22729184365,25309818139,24948935408
Czech Republic,CZE,2.29563E+11,2.08858E+11,2.11686E+11,2.09359E+11,1.88033E+11,1.96272E+11,2.18629E+11,2.48909E+11,2.50681E+11
Germany,DEU,3.74441E+12,3.52734E+12,3.73274E+12,3.88392E+12,3.35624E+12,3.4675E+12,3.6826E+12,3.96377E+12,3.86112E+12
Djibouti,DJI,1239144502,1353632942,2042817163,2214681574,2430287967,2603554907,2751461056,3012820410,3324634256
Dominica,DMA,501025925.9,485996296.3,498296296.3,520207407.4,540737037,576229629.6,519837037,551074074.1,582403703.7
Denmark,DNK,3.44003E+11,3.27149E+11,3.43584E+11,3.52994E+11,3.02673E+11,3.13116E+11,3.32121E+11,3.56879E+11,3.50104E+11
Dominican Republic,DOM,58029750744,60681537195,62682163838,67179914026,71164825258,75704720190,79997975623,85555378044,88941299734
Algeria,DZA,2.00254E+11,2.09021E+11,2.09724E+11,2.1386E+11,1.66361E+11,1.59995E+11,1.70163E+11,1.75406E+11,1.71091E+11
East Asia & Pacific (excluding high income),EAP,9.62027E+12,1.07276E+13,1.18356E+13,1.27616E+13,1.32946E+13,1.35758E+13,1.4836E+13,1.65941E+13,1.71517E+13
Early-demographic dividend,EAR,9.61382E+12,1.00816E+13,1.02598E+13,1.06205E+13,1.03116E+13,1.05504E+13,1.13997E+13,1.1646E+13,1.19899E+13
East Asia & Pacific,EAS,1.96874E+13,2.10721E+13,2.13186E+13,2.20022E+13,2.19116E+13,2.26586E+13,2.42227E+13,2.63513E+13,2.69247E+13
Europe & Central Asia (excluding high income),ECA,3.66026E+12,3.90407E+12,4.13902E+12,3.84176E+12,2.91664E+12,2.77322E+12,3.11481E+12,3.19214E+12,3.24846E+12
Europe & Central Asia,ECS,2.325E+13,2.24125E+13,2.3421E+13,2.37385E+13,2.04503E+13,2.03888E+13,2.16108E+13,2.31457E+13,2.27928E+13
Ecuador,ECU,79276664000,87924544000,95129659000,1.01726E+11,99290381000,99937696000,1.04296E+11,1.07562E+11,1.07436E+11
"Egypt, Arab Rep.",EGY,2.3599E+11,2.79117E+11,2.88434E+11,3.05595E+11,3.29367E+11,3.32442E+11,2.35734E+11,2.49713E+11,3.03092E+11
Euro area,EMU,1.36232E+13,1.26396E+13,1.31903E+13,1.34906E+13,1.16685E+13,1.19672E+13,1.2671E+13,1.36869E+13,1.33561E+13
Eritrea,ERI,2065001626,,,,,,,,
Spain,ESP,1.47877E+12,1.32482E+12,1.35476E+12,1.3694E+12,1.19512E+12,1.23208E+12,1.31254E+12,1.42215E+12,1.39349E+12
Estonia,EST,23391530006,23192708982,25271406708,26773473625,23048864243,24259552889,26951648829,30631142227,31471100656
Ethiopia,ETH,31952763089,43310721414,47648211133,55612228234,64589334979,74296618481,81770791971,84269348327,95912590628
European Union,EUU,1.57442E+13,1.46363E+13,1.52934E+13,1.56326E+13,1.35451E+13,1.38868E+13,1.47584E+13,1.5965E+13,1.56264E+13
Fragile and conflict affected situations,FCS,1.45312E+12,1.67881E+12,1.76371E+12,1.92322E+12,1.72691E+12,1.55071E+12,1.56959E+12,1.69825E+12,1.77846E+12
Finland,FIN,2.75244E+11,2.58305E+11,2.71285E+11,2.74497E+11,2.3444E+11,2.40608E+11,2.55232E+11,2.75947E+11,2.69296E+11
Fiji,FJI,3774530616,3972012571,4190143206,4856963252,4682546881,4930204220,5353404419,5581393121,5496250694
France,FRA,2.86141E+12,2.68383E+12,2.81108E+12,2.85217E+12,2.43821E+12,2.47129E+12,2.59515E+12,2.78786E+12,2.71552E+12
Faroe Islands,FRO,2490807831,2366301252,2627049837,2850743875,2518096286,2738832687,2905102304,3116887847,
"Micronesia, Fed. Sts.",FSM,311301600,327248700,317214400,319271200,316489900,332265200,366666800,401932300,
Gabon,GAB,18210308748,17170465294,17595745653,18203968002,14383107714,14023890620,14929488771,16862282414,16874450215
United Kingdom,GBR,2.65931E+12,2.70489E+12,2.78602E+12,3.0638E+12,2.92859E+12,2.69428E+12,2.66623E+12,2.86067E+12,2.82911E+12
Georgia,GEO,15107441447,16488403076,17189551521,17627003455,14953950557,15141758567,16242916916,17599700091,17477255546
Ghana,GHA,39337314810,41270954737,62405374786,53660342160,48564863888,55009730600,58998132330,65556464048,66983634224
Gibraltar,GIB,,,,,,,,,
Guinea,GIN,6785137173,7638045254,8376613843,8778473615,8794202444,8595955581,10324668267,10907214994,12296665331
"Gambia, The",GMB,1409694554,1415006238,1375608956,1229460602,1378176868,1484579844,1504909753,1670670669,1826073740
Guinea-Bissau,GNB,1099818652,989271229.6,1046087418,1054915645,1048229629,1179004941,1350177128,1458868242,1339449165
Equatorial Guinea,GNQ,21357344847,22388345810,21948835350,21765454404,13185496836,11240809132,12200914930,13278488567,11026774945
Greece,GRC,2.87798E+11,2.45671E+11,2.39862E+11,2.3703E+11,1.96591E+11,1.95222E+11,2.03588E+11,2.18138E+11,2.09853E+11
Grenada,GRD,778655925.9,799882259.3,842620111.1,911497407.4,997007925.9,1061631222,1125685185,1168696296,1210603704
Greenland,GRL,2684467376,2609667674,2684952727,2842048998,2499115623,2707146783,2826651926,3051626390,
Guatemala,GTM,47654783852,50388460925,52996540576,57852399705,62186186576,66053725049,71612352645,73118147941,76710355347
Guam,GUM,4928000000,5199000000,5336000000,5538000000,5710000000,5795000000,5851000000,5920000000,
Guyana,GUY,3691384743,4063090016,4167801803,4127664336,4279840362,4482697337,4748174334,4787635821,5173759528
High income,HIC,4.92117E+13,4.92625E+13,4.98869E+13,5.09869E+13,4.81693E+13,4.91812E+13,5.14683E+13,5.46569E+13,5.51406E+13
"Hong Kong SAR, China",HKG,2.48514E+11,2.62629E+11,2.75697E+11,2.91459E+11,3.09384E+11,3.20838E+11,3.41244E+11,3.61697E+11,3.65712E+11
Honduras,HND,17710315006,18528601901,18499710128,19756494435,20979767785,21717622071,23136232230,24024189736,25095395475
Heavily indebted poor countries (HIPC),HPC,5.46434E+11,5.80701E+11,6.47872E+11,6.83129E+11,6.76806E+11,6.69729E+11,7.13187E+11,7.59124E+11,7.83062E+11
Croatia,HRV,62537851352,56580819624,58194069434,57639588806,49525747504,51601147666,55481644098,61375222347,60752588976
Haiti,HTI,13008748132,13708931890,14498080023,14790765760,14857386164,13723267961,14213814583,15965670198,14332163266
Hungary,HUN,1.4176E+11,1.28475E+11,1.35412E+11,1.40765E+11,1.25074E+11,1.28471E+11,1.42962E+11,1.60419E+11,1.63469E+11
IBRD only,IBD,2.3645E+13,2.51408E+13,2.6561E+13,2.74756E+13,2.59501E+13,2.61534E+13,2.88642E+13,3.08077E+13,3.1539E+13
IDA & IBRD total,IBT,2.53078E+13,2.69315E+13,2.85274E+13,2.95783E+13,2.80398E+13,2.8183E+13,3.09649E+13,3.30323E+13,3.3852E+13
IDA total,IDA,1.66499E+12,1.79408E+12,1.97343E+12,2.11292E+12,2.10231E+12,2.03974E+12,2.10739E+12,2.2311E+12,2.32031E+12
IDA blend,IDB,8.04396E+11,8.89579E+11,9.65837E+11,1.0367E+12,9.99758E+11,9.31081E+11,9.22589E+11,9.64268E+11,9.91548E+11
Indonesia,IDN,8.92969E+11,9.1787E+11,9.12524E+11,8.90815E+11,8.60854E+11,9.31877E+11,1.01562E+12,1.04224E+12,1.11919E+12
IDA only,IDX,8.53829E+11,8.95131E+11,9.98443E+11,1.06619E+12,1.09534E+12,1.10554E+12,1.1855E+12,1.26882E+12,1.33197E+12
Isle of Man,IMN,6566098382,6690725118,7000748788,7708834951,7085288006,6846691871,6979581725,7491969313,
India,IND,1.82305E+12,1.82764E+12,1.85672E+12,2.03913E+12,2.10359E+12,2.2948E+12,2.65275E+12,2.71317E+12,2.86893E+12
Not classified,INX,,,,,,,,,
Ireland,IRL,2.37472E+11,2.24999E+11,2.38544E+11,2.58472E+11,2.915E+11,3.00523E+11,3.35663E+11,3.82674E+11,3.88699E+11
"Iran, Islamic Rep.",IRN,5.80765E+11,5.98868E+11,4.60293E+11,4.32687E+11,3.84951E+11,4.17984E+11,4.45345E+11,4.53996E+11,
Iraq,IRQ,1.8547E+11,2.17808E+11,2.34648E+11,2.34648E+11,1.77499E+11,1.74896E+11,1.95473E+11,2.24228E+11,2.34094E+11
Iceland,ISL,15158548263,14724078148,16033517403,17758050016,17389101639,20618363252,24488176541,25737594324,24188038474
Israel,ISR,2.61469E+11,2.5718E+11,2.92636E+11,3.09558E+11,2.99813E+11,3.18951E+11,3.53253E+11,3.70588E+11,3.94652E+11
Italy,ITA,2.29199E+12,2.08708E+12,2.14132E+12,2.15913E+12,1.8359E+12,1.8758E+12,1.9618E+12,2.09154E+12,2.00358E+12
Jamaica,JAM,14444655300,14807086889,14262589158,13897804560,14187696311,14075894320,14806340821,15713908816,16458071068
Jordan,JOR,29524149165,31634561670,34454440181,36847643587,38587017944,39892551149,41408960787,42932112676,44502895862
Japan,JPN,6.15746E+12,6.20321E+12,5.15572E+12,4.85041E+12,4.38948E+12,4.92254E+12,4.86686E+12,4.95481E+12,5.08177E+12
Kazakhstan,KAZ,1.92627E+11,2.07999E+11,2.36635E+11,2.21416E+11,1.84388E+11,1.37278E+11,1.66806E+11,1.7934E+11,1.81666E+11
Kenya,KEN,41953433591,50412754861,55096728048,61448046802,64007750169,69188755364,78965004656,87778582964,95503088538
Kyrgyz Republic,KGZ,6197766119,6605139933,7335027592,7468096567,6678178340,6813092066,7702934800,8271108638,8454619608
Cambodia,KHM,12829541141,14054443213,15227991395,16702610842,18049954289,20016747754,22177200512,24571753583,27089389787
Kiribati,KIR,181705002.6,190243321.6,185113921.6,179703443.3,171117872.4,178328873,187276210.9,196737896,194647201.9
St. Kitts and Nevis,KNA,817759259.3,800414814.8,839774074.1,916566666.7,923155555.6,971166666.7,996944444.4,1010822222,1053244444
"Korea, Rep.",KOR,1.25322E+12,1.27843E+12,1.3708E+12,1.48432E+12,1.46577E+12,1.50011E+12,1.6239E+12,1.72485E+12,1.64674E+12
Kuwait,KWT,1.54068E+11,1.7407E+11,1.74161E+11,1.62631E+11,1.14567E+11,1.0942E+11,1.20707E+11,1.40645E+11,1.34629E+11
Latin America & Caribbean (excluding high income),LAC,5.59226E+12,5.62921E+12,5.75537E+12,5.89106E+12,5.00691E+12,4.86573E+12,5.42541E+12,5.22607E+12,5.1496E+12
Lao PDR,LAO,8749241114,10191350120,11942230508,13268458232,14390442307,15805692546,16853087485,17953786416,18173839147
Lebanon,LBN,39927125961,44035991746,46909335135,48134486625,49939374833,51205122504,53140638269,54961275742,51991634492
Liberia,LBR,2398000000,2721000000,3067000000,3144000000,3177000000,3277826000,3285455000,3264000000,3070518100
Libya,LBY,34699395524,81873662519,65502870174,41142722414,27842131480,26197143268,37883243650,52607888718,52091152228
