Country Name,Country Code,PPP
Aruba,ABW,23512.6026
Afghanistan,AFG,543.3030419
Angola,AGO,3587.883798
Albania,ALB,4094.350334
Andorra,AND,40852.66678
Arab World,ARB,5926.712963
United Arab Emirates,ARE,33893.30351
Argentina,ARG,10385.96443
Armenia,ARM,3218.372707
American Samoa,ASM,10271.22452
Antigua and Barbuda,ATG,13049.25705
Australia,AUS,52022.1256
Austria,AUT,46858.04327
Azerbaijan,AZE,5842.805784
Burundi,BDI,234.2356469
Belgium,BEL,44141.87814
Benin,BEN,1036.533952
Burkina Faso,BFA,647.8358465
Bangladesh,BGD,781.1535936
Bulgaria,BGR,6812.406338
Bahrain,BHR,20722.13729
"Bahamas, The",BHS,28443.40766
Bosnia and Herzegovina,BIH,4635.517779
Belarus,BLR,6029.3968
Belize,BLZ,4270.864345
Bermuda,BMU,101875.2841
Bolivia,BOL,1955.461544
Brazil,BRA,11286.24302
Barbados,BRB,16056.37098
Brunei Darussalam,BRN,35269.55311
Bhutan,BTN,2258.183141
Botswana,BWA,6434.815724
Central African Republic,CAF,488.4214018
Canada,CAN,47448.01322
Central Europe and the Baltics,CEB,12608.63333
Switzerland,CHE,74605.72108
Channel Islands,CHI,
Chile,CHL,12808.03459
China,CHN,4550.453108
Cote d'Ivoire,CIV,1213.112645
Cameroon,CMR,1286.515572
"Congo, Dem. Rep.",COD,334.0215726
"Congo, Rep.",COG,3076.561253
Colombia,COL,6336.709474
Comoros,COM,1316.498848
Cabo Verde,CPV,3378.25486
Costa Rica,CRI,8141.913127
Caribbean small states,CSS,9253.213333
Cuba,CUB,5730.354775
Curacao,CUW,
Cayman Islands,CYM,73351.75776
Cyprus,CYP,31023.63833
Czech Republic,CZE,19960.06849
Germany,DEU,41531.9342
Djibouti,DJI,1343.26873
Dominica,DMA,6967.266654
Denmark,DNK,58041.39844
Dominican Republic,DOM,5555.389722
Algeria,DZA,4479.34172
East Asia & Pacific (excluding high income),EAP,4005.571701
Early-demographic dividend,EAR,2948.87204
East Asia & Pacific,EAS,7698.067616
Europe & Central Asia (excluding high income),ECA,7794.233154
Europe & Central Asia,ECS,23614.22806
Ecuador,ECU,4633.590358
"Egypt, Arab Rep.",EGY,2645.969047
Euro area,EMU,37568.88915
Eritrea,ERI,501.3556333
Spain,ESP,30502.71971
Estonia,EST,14790.82092
Ethiopia,ETH,341.5541149
European Union,EUU,32939.9954
Fragile and conflict affected situations,FCS,2207.772111
Finland,FIN,46459.97325
Fiji,FJI,3652.527437
France,FRA,40638.334
Faroe Islands,FRO,48530.23385
"Micronesia, Fed. Sts.",FSM,2885.445676
Gabon,GAB,8849.3553
United Kingdom,GBR,39435.8399
Georgia,GEO,3233.295943
Ghana,GHA,1299.344949
Gibraltar,GIB,
Guinea,GIN,672.4244026
"Gambia, The",GMB,860.6378737
Guinea-Bissau,GNB,558.1761345
Equatorial Guinea,GNQ,17288.8596
Greece,GRC,26917.75895
Grenada,GRD,7257.756622
Greenland,GRL,43988.33249
Guatemala,GTM,2898.942215
Guam,GUM,30700.43401
Guyana,GUY,4580.662462
High income,HIC,38653.90344
"Hong Kong SAR, China",HKG,32549.99823
Honduras,HND,1904.346465
Heavily indebted poor countries (HIPC),HPC,785.4220697
Croatia,HRV,13949.3265
Haiti,HTI,1172.098543
Hungary,HUN,13191.62126
IBRD only,IBD,4521.969689
IDA & IBRD total,IBT,3708.944737
IDA total,IDA,1076.004897
IDA blend,IDB,1534.990664
Indonesia,IDN,3122.362815
IDA only,IDX,840.1907188
Isle of Man,IMN,69766.52119
India,IND,1357.563719
Not classified,INX,
Ireland,IRL,48715.17691
"Iran, Islamic Rep.",IRN,6599.660938
Iraq,IRQ,4655.424995
Iceland,ISL,43024.92349
Israel,ISR,30693.59306
Italy,ITA,36000.52012
Jamaica,JAM,4704.054455
Jordan,JOR,3736.646494
Japan,JPN,44507.67639
Kazakhstan,KAZ,9070.488253
Kenya,KEN,951.6879611
Kyrgyz Republic,KGZ,880.0377751
Cambodia,KHM,785.5022829
Kiribati,KIR,1516.811869
St. Kitts and Nevis,KNA,15510.19915
"Korea, Rep.",KOR,23087.22564
Kuwait,KWT,38577.49828
Latin America & Caribbean (excluding high income),LAC,8778.137962
Lao PDR,LAO,1140.599205
Lebanon,LBN,7761.646191
Liberia,LBR,513.4456986
Libya,LBY,12064.78069
St. Lucia,LCA,8540.414378
Latin America & Caribbean,LCN,9076.327337
Least developed countries: UN classification,LDC,815.4057728
Low income,LIC,738.0468702
Liechtenstein,LIE,141200.38
Sri Lanka,LKA,2799.648876
Lower middle income,LMC,1542.731571
Low & middle income,LMY,3577.512606
Lesotho,LSO,1137.2757
Late-demographic dividend,LTE,6193.228036
Lithuania,LTU,11990.66302
Luxembourg,LUX,104965.3061
Latvia,LVA,11383.52241
"Macao SAR, China",MAC,52253.15531
St. Martin (French part),MAF,
Morocco,MAR,2839.925168
Monaco,MCO,150725.1941
Moldova,MDA,2437.529978
Madagascar,MDG,471.959197
Maldives,MDV,7076.662423
Middle East & North Africa,MEA,7172.643418
Mexico,MEX,9271.398233
Marshall Islands,MHL,2876.994997
Middle income,MIC,3867.485054
North Macedonia,MKD,4542.899717
Mali,MLI,710.2742022
Malta,MLT,21799.17439
Myanmar,MMR,979.05163
Middle East & North Africa (excluding high income),MNA,4161.335395
Montenegro,MNE,6688.318598
Mongolia,MNG,2643.292914
Northern Mariana Islands,MNP,14804.24673
Mozambique,MOZ,471.904203
Mauritania,MRT,1610.923908
Mauritius,MUS,8000.376432
Malawi,MWI,478.6685897
Malaysia,MYS,9040.566251
North America,NAC,48376.68672
Namibia,NAM,5318.00694
New Caledonia,NCL,
Niger,NER,476.8695322
Nigeria,NGA,2280.437424
Nicaragua,NIC,1503.870423
Netherlands,NLD,50950.03434
Norway,NOR,87693.79007
Nepal,NPL,592.4010975
Nauru,NRU,4754.075002
New Zealand,NZL,33700.12604
OECD members,OED,34989.8997
Oman,OMN,18712.5763
Other small states,OSS,12377.48956
Pakistan,PAK,987.409723
Panama,PAN,8082.028459
Peru,PER,5082.354757
Philippines,PHL,2217.474009
Palau,PLW,10356.05681
Papua New Guinea,PNG,1949.352517
Poland,POL,12613.011
Pre-demographic dividend,PRE,1391.109006
Puerto Rico,PRI,26435.74879
"Korea, Dem. People’s Rep.",PRK,
Portugal,PRT,22498.69086
Paraguay,PRY,4355.934939
West Bank and Gaza,PSE,2557.075624
Pacific island small states,PSS,2979.731978
Post-demographic dividend,PST,39561.59979
French Polynesia,PYF,
Qatar,QAT,67403.1603
Romania,ROU,8214.076893
Russian Federation,RUS,10674.99578
Rwanda,RWA,610.0124006
South Asia,SAS,1257.499439
Saudi Arabia,SAU,19262.55252
Sudan,SDN,1401.477474
Senegal,SEN,1280.22547
Singapore,SGP,47236.96023
Solomon Islands,SLB,1604.20583
Sierra Leone,SLE,401.8350014
El Salvador,SLV,2983.229771
San Marino,SMR,60239.34071
Somalia,SOM,
Serbia,SRB,5735.422857
Sub-Saharan Africa (excluding high income),SSA,1573.791009
South Sudan,SSD,1535.708184
Sub-Saharan Africa,SSF,1583.988968
Small states,SST,11168.65509
Sao Tome and Principe,STP,1090.264878
Suriname,SUR,8255.874872
Slovak Republic,SVK,16750.79744
Slovenia,SVN,23509.54314
Sweden,SWE,52869.04429
Eswatini,SWZ,4168.505177
Sint Maarten (Dutch part),SXM,
Seychelles,SYC,10804.68447
Syrian Arab Republic,SYR,
Turks and Caicos Islands,TCA,21028.40784
Chad,TCD,892.5687203
East Asia & Pacific (IDA & IBRD countries),TEA,4048.420431
Europe & Central Asia (IDA & IBRD countries),TEC,8289.802434
Togo,TGO,534.0443668
Thailand,THA,5076.340174
Tajikistan,TJK,749.552711
Turkmenistan,TKM,4439.200382
Latin America & the Caribbean (IDA & IBRD countries),TLA,8991.522122
Timor-Leste,TLS,806.4091016
Middle East & North Africa (IDA & IBRD countries),TMN,4179.743297
Tonga,TON,3527.782706
South Asia (IDA & IBRD),TSA,1257.499439
Sub-Saharan Africa (IDA & IBRD countries),TSS,1583.988968
Trinidad and Tobago,TTO,16683.35538
Tunisia,TUN,4141.976353
Turkey,TUR,10742.43007
Tuvalu,TUV,3022.176507
Tanzania,TZA,743.4037847
Uganda,UGA,819.0073159
Ukraine,UKR,2965.139715
Upper middle income,UMC,6091.874288
Uruguay,URY,11992.01663
United States,USA,48467.51578
Uzbekistan,UZB,1634.312095
St. Vincent and the Grenadines,VCT,6292.789487
"Venezuela, RB",VEN,13825.35809
British Virgin Islands,VGB,
Virgin Islands (U.S.),VIR,40043.19017
Vietnam,VNM,1317.890706
Vanuatu,VUT,2966.857116
World,WLD,9553.184885
Samoa,WSM,3566.362378
Kosovo,XKX,3286.557443
"Yemen, Rep.",YEM,1334.784845
South Africa,ZAF,7328.615629
Zambia,ZMB,1489.459306
Zimbabwe,ZWE,948.3318545
